File,AnimalCrossingWeights,DoomWeights
032c8pe171q41.png,-0.28123844,0.43093297
0d95wo29cl051.jpg,-0.06514131,0.15816689
0iihl37qztn41.jpg,-0.2812403,0.43093544
0iycgvopjqp41.jpg,0.34335312,-0.35366756
0p7edblbk8p41.jpg,-0.2799098,0.4292553
176wf6duetq41.jpg,0.3035275,-0.30353296
18t04erwchn41.jpg,-0.2812403,0.43093544
1desbznqwep41.jpg,0.23310229,-0.21575186
1jsic9i2wmu41.jpg,0.385731,-0.4071135
1p3rh7tvhdy41.png,-0.2812382,0.43093178
1p6bf7u5cjt41.png,0.13627023,-0.09330781
1qcffna4czr41.jpg,0.38570976,-0.40736154
1snibvl6zpp41.jpg,-0.28123516,0.43092698
1uhs4gafad731.jpg,-0.2812403,0.43093544
1uifkvj06sk41.jpg,-0.2812403,0.43093544
1vg7jk65tez31.jpg,0.36704782,-0.38271567
1xlmtsssnf341.jpg,0.36711144,-0.38392952
23gxv6wtxzu41.jpg,0.09146448,-0.0373294
23t8wopwtts41.jpg,0.38438302,-0.40264913
241lqn25dl151.jpg,0.3623901,-0.3753259
24lhlcread251.png,0.36812764,-0.38513446
2731mrdf6y151.jpg,-0.2812403,0.43093544
2dfxle74a4u41.jpg,-0.074744664,0.17061535
2jjk7qjqrok41.jpg,0.35497957,-0.36837858
2jkzeie0jcx41.jpg,-0.2812403,0.43093544
2v9ke0u7u3251.jpg,0.3851857,-0.4061937
304z3hr5usu41.png,-0.2738152,0.42167202
3kb6v6y9wfw41.jpg,-0.2812403,0.43093544
3knczrzj74s41.jpg,0.384458,-0.40433347
3lv88stn0xy41.jpg,0.044096768,0.022341225
3orpc5p97to41.png,-0.28123334,0.43092626
3qn87hrl2s051.jpg,0.35671285,-0.37020624
3x76fnf5t5p41.jpg,-0.2812403,0.43093544
3xwa9qbnv0u41.jpg,-0.2812403,0.4309354
43pp3t31dzp41.jpg,-0.2812403,0.43093544
45kdvxyd2kq41.jpg,0.37748706,-0.39634463
47ds2xqk7gj41.png,-0.2812403,0.43093544
4lcorvjpgwu41.jpg,-0.2812403,0.43093544
4s7pypxlsd051.jpg,-0.25160336,0.39446062
4xdnyq2yb3k31.jpg,-0.2812399,0.43093494
50viwztc4m311.png,-0.27925843,0.42844257
5316crymj9x41.jpg,0.060578354,0.009202693
58exll0jx5241.jpg,-0.2812403,0.43093544
5c0apvkrr3c41.png,-0.23907289,0.37801117
5lhnu5wkaws41.jpg,0.3695193,-0.3868776
5t0572mhcnt41.jpg,-0.2812403,0.43093544
5v3ruv26gzn41.jpg,-0.2812302,0.43092066
5vcptmnsu0s41.jpg,-0.28124028,0.43093535
62k1736jpez41.jpg,-0.27478158,0.42281464
68u6ah79mjq41.jpg,0.2749978,-0.26718837
6gkc4urrm2l41.jpg,0.37658283,-0.39522275
6i7942mo4ow41.jpg,-0.19851077,0.3269047
6iqzslgyvzt41.jpg,0.37974018,-0.39995795
6laytxuzxvq41.jpg,0.29512125,-0.28670788
6wh1dwko5ov41.jpg,0.22192681,-0.20076098
6zgeznjf9jo41.jpg,0.3785766,-0.39829966
75xm3xzxfke41.jpg,-0.28123966,0.43093434
7810sp2lwun41.jpg,-0.2812389,0.43093356
78sgcpeiljw41.jpg,-0.2812403,0.43093544
7iy5dj4aqb251.jpg,0.38085052,-0.4013523
7u38870a0jv41.jpg,-0.25240192,0.3947335
80tj3dnbj2y41.png,-0.2812403,0.43093544
